snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MASR,4600035,DISCO RIG 1TB WD10PURZ,968.0,192118.96
2026-02-23,MASR,4600075,DISCO RIG 64MB HD 2TB WD23PURZ,747.0,186331.68
2026-02-23,MASR,4600074,DISCO RIG 64MB HD 1TB WD11PURZ,665.0,147098.0
2026-02-23,MASR,4301144,INVERSOR TRI 380V/60HZ G INEX050KG,12.0,143469.84
2026-02-23,MASR,4301188,INVERSOR TRIF 380V/60HZ INEX110KG,7.0,129356.01
2026-02-23,MASR,4600015,DISCO RIG 5400RPM 64MB 4TB WD42PURZ,371.0,125175.4
2026-02-23,MASR,4301121,"INVERSOR 10,0KW 220V/60HZ G IN010KHCG",22.0,110446.16
2026-02-23,MASR,4301287,INVERSOR 380V RENO 110K INEX110KG REM,4.0,73180.64
2026-02-23,MASR,4600191,DISCO RIG 10TB WD101PURP,55.0,61441.6
2026-02-23,MASR,4600014,DISCO RIG 5400RPM 64MB 2TB WD22PURZ,272.0,61414.88
2026-02-23,MASR,4301162,INVERSOR 220V RENO5KHC G IN005KHCG REM,25.0,60951.5
2026-02-23,MASR,1870765,INVERSOR ON GRID 15KW EGT 15000 MAX G2,11.0,49001.149999999994
2026-02-23,MASR,4301153,INVERSOR MONO 220V/60HZ G INEX008KG,10.0,44100.2
2026-02-23,MASR,4842786,INVERSOR 125KW 220/380V EGT 125000 HMAX,2.0,36927.5
2026-02-23,MASR,4600079,DISCO RIG 6TB WD64PURZ,60.0,35090.4
2026-02-23,MASR,4301292,INVERSOR 380V RENO15K G IN015KEXG REM,6.0,34887.840000000004
2026-02-23,MASR,4301152,INVERSOR TRIFASICO 380V/60HZ G IN75K0EXG,2.0,34667.64
2026-02-23,MASR,4600124,DISCO RIG 6TB WD60PURZ,47.0,33351.2
2026-02-23,MASR,4301258,"INVERSOR RENO 7,7K IN7K7RECG REM",10.0,30283.100000000002
2026-02-23,MASR,4600181,DISCO RIG 8TB WD84PURZ,32.0,28885.12
2026-02-23,MASR,4842512,INVERSOR EGT 75000 MAX G2,2.0,26965.48
2026-02-23,MASR,4600097,DISCO RIG 8TB 256MB WD85PURZ,30.0,26929.5
2026-02-23,MASR,4301127,INVERSOR MONO 220V/60HZ G IN003KHCG,14.0,24754.38
2026-02-23,MASR,4600192,DISCO RIG 12TB WD121PURP,17.0,22310.29
2026-02-23,MASR,4301117,INVERSOR EX TRIF 600V/60HZ G INEX125KG,1.0,22283.94
2026-02-23,MASR,4600194,DISCO RIG 18TB WD181PURP,13.0,19717.1
2026-02-23,MASR,4849597,INVERSOR ON GRID 15KW EGT 15000 MAX G2,4.0,18038.68
2026-02-23,MASR,1870906,INVERSOR ON GRID 75KW IONS-75K T6,1.0,17912.41
2026-02-23,MASR,4600016,DISCO RIG 6TB 5640RPM 256MB 6TB WD63PURZ,30.0,16978.2
2026-02-23,MASR,1871082,INVERSOR ON GRID 75KW IONS-75K T6-220V A,1.0,16832.93
2026-02-23,MASR,4900273,INVERSOR ON-G 40KW EGT 40000 MAX G2 REM,2.0,15853.82
2026-02-23,MASR,4849599,INVERSOR ON-G 20KW EGT 20000 MAX 220V G2,2.0,15020.42
2026-02-23,MASR,4301298,INVERSOR 220V/60HZ RENO20KLV G IN020KLVG,2.0,14783.4
2026-02-23,MASR,4600036,DISCO RIG 2TB WD20PURZ,61.0,14001.94
2026-02-23,MASR,4301053,INVERSOR MONO RGT-M 6K 220V INRGT06KO,5.0,13941.35
2026-02-23,MASR,4780142,PLACA GFOA AN6000-2-AN6007 AN600-15,1.0,13383.92
2026-02-23,MASR,1870764,INVERSOR ON GRID 12KW EGT 12000 MAX G2,3.0,13111.53
