snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MAST,4390176,CENTRAL ALRM AMT 2018 EG(IP C/GPRS),28.0,5710.04
2026-02-23,MAST,4543514,SIRENE S/FIO XSS 8000,71.0,5704.85
2026-02-23,MAST,4920463,PLACA 32 RML BAL CP 192/352,27.0,5687.82
2026-02-23,MAST,4822203,NOBREAK ATTIV 700VA-120V,29.0,5673.27
2026-02-23,MAST,4600163,CARTAO MSD 64GB 32TBW P/SEG ELETRON,183.0,5645.55
2026-02-23,MAST,4750218,ROTEADOR 5G PRETO GX 3000 C/CHIP,6.0,5625.06
2026-02-23,MAST,4780043,DIVISOR HDMI 1X4 VEX 3004,81.0,5606.82
2026-02-23,MAST,4822212,NOBREAK ATTIV 1500VA-BI,19.0,5582.77
2026-02-23,MAST,4822029,NOBREAK DNB 3.0KVA-220V-TW,5.0,5570.4
2026-02-23,MAST,4661100,CENTRAL AUTOM CP-1000,139.0,5439.07
2026-02-23,MAST,2880726,PLACA PRIN MONT FNT ININT FA1220S V2,174.0,5395.74
2026-02-23,MAST,4160027,REPETIDORA RADIO FREQUENCIA REP 25 VHF,1.0,5390.47
2026-02-23,MAST,4560054,CAMERA TV PROF VHD 3220 D FC+,71.0,5381.09
2026-02-23,MAST,4906067,INVERSOR ON GRID 20KW EGT 20000 MAX REM,1.0,5360.7
2026-02-23,MAST,4680300,CONTROLADOR ACESSO SS 3532 MF,14.0,5360.32
2026-02-23,MAST,4540053,SENSOR IR MICROND C/FIO IVP7000 MW EX,81.0,5337.9
2026-02-23,MAST,4750188,ROTEADOR WRS RX 3000,44.0,5333.24
2026-02-23,MAST,4580934,GRAVADOR DIG NVD 3316 P,6.0,5331.42
2026-02-23,MAST,1890121,PCIM PRINCIPAL IZY PLAY FULL HD,43.0,5264.49
2026-02-23,MAST,4680257,CONTROLADOR ACESSO SS 5541 MF W,9.0,5256.09
